COUNTRY;2023;2024;2025
Belgium;5,5;5,7;6,2
Bulgaria;4,3;4,2;3,6
Czechia;2,6;2,8;2,9
Denmark;5,1;6,2;6,3
Germany;3,1;3,4;3,7
Estonia;6,5;7,6;7,4
Ireland;4,3;4,3;4,8
Greece;11;10,2;8,8
Spain;12,2;11,4;10,5
France;7,3;7,4;7,6
Croatia;6;5,1;4,8
Italy;7,7;6,6;6
Cyprus;5,9;4,9;4,4
Latvia;6,5;6,9;7
Lithuania;6,8;7,1;6,7
Luxembourg;5,2;6,3;6,6
Hungary;4,1;4,4;4,4
Malta;3,5;3,2;3
Netherlands;3,6;3,7;3,9
Austria;5,1;5,2;5,7
Poland;2,8;2,9;3,1
Portugal;6,6;6,5;6
Romania;5,6;5,5;6
Slovenia;3,6;3,7;4,1
Slovakia;5,8;5,4;5,4
Finland;7,2;8,4;9,7
Sweden;7,7;8,4;8,9
